x,y,z
-0.18549728393554688,-0.958984375,-0.051654815673828125
-0.18577957153320312,-0.9587020874023438,-0.05158233642578125
-0.18546676635742188,-0.9586639404296875,-0.051677703857421875
-0.18577957153320312,-0.9597663879394531,-0.051876068115234375
-0.18568801879882812,-0.9594039916992188,-0.051540374755859375
-0.18581771850585938,-0.9590682983398438,-0.05139923095703125
-0.18597793579101562,-0.9589042663574219,-0.051433563232421875
-0.1858673095703125,-0.9591712951660156,-0.05176544189453125
-0.18595123291015625,-0.9596977233886719,-0.05173492431640625
-0.1861419677734375,-0.9597053527832031,-0.051471710205078125
-0.1856536865234375,-0.9590682983398438,-0.05152130126953125
-0.18561172485351562,-0.9590110778808594,-0.05168914794921875
-0.18572235107421875,-0.9587898254394531,-0.0515899658203125
-0.18603134155273438,-0.9591140747070312,-0.05164337158203125
-0.18591690063476562,-0.9589805603027344,-0.05170440673828125
-0.18562698364257812,-0.9592399597167969,-0.051441192626953125
-0.18568801879882812,-0.9595909118652344,-0.051700592041015625
-0.18559646606445312,-0.9590415954589844,-0.05170440673828125
-0.18582916259765625,-0.9589500427246094,-0.0518951416015625
-0.18576812744140625,-0.9596786499023438,-0.051837921142578125
-0.18580245971679688,-0.95928955078125,-0.051677703857421875
-0.18589401245117188,-0.9593772888183594,-0.051982879638671875
-0.1857147216796875,-0.9594268798828125,-0.051700592041015625
-0.1857147216796875,-0.9597854614257812,-0.0514678955078125
-0.1856689453125,-0.9590301513671875,-0.051692962646484375
-0.1858673095703125,-0.959228515625,-0.05171966552734375
-0.1859893798828125,-0.9592208862304688,-0.051998138427734375
-0.18588638305664062,-0.9588546752929688,-0.051753997802734375
-0.1858978271484375,-0.9590187072753906,-0.05188751220703125
-0.185577392578125,-0.9592399597167969,-0.05162811279296875
-0.18572235107421875,-0.9593086242675781,-0.05136871337890625
-0.18581008911132812,-0.9592819213867188,-0.05171966552734375
-0.18585205078125,-0.9591484069824219,-0.05171966552734375
-0.18564605712890625,-0.9590873718261719,-0.051647186279296875
-0.18555831909179688,-0.9594039916992188,-0.051601409912109375
-0.18577957153320312,-0.9595794677734375,-0.051792144775390625
-0.18587875366210938,-0.9595794677734375,-0.05158233642578125
-0.18588638305664062,-0.9592475891113281,-0.05207061767578125
-0.18572998046875,-0.9590797424316406,-0.0518341064453125
-0.18576431274414062,-0.9594230651855469,-0.051609039306640625
-0.1855926513671875,-0.9591827392578125,-0.051731109619140625
-0.18610382080078125,-0.9587326049804688,-0.051677703857421875
-0.18595504760742188,-0.9590606689453125,-0.051464080810546875
-0.18547439575195312,-0.9589996337890625,-0.05157470703125
-0.18619155883789062,-0.9595375061035156,-0.0516357421875
-0.18585205078125,-0.9595375061035156,-0.051906585693359375
-0.18574142456054688,-0.9591178894042969,-0.051990509033203125
-0.18563079833984375,-0.9587249755859375,-0.0521697998046875
-0.18562698364257812,-0.9590187072753906,-0.051692962646484375
-0.18562698364257812,-0.958984375,-0.051570892333984375
-0.1856842041015625,-0.9590911865234375,-0.051555633544921875
-0.18576431274414062,-0.9590950012207031,-0.0518798828125
-0.18575286865234375,-0.9591636657714844,-0.051544189453125
-0.18575668334960938,-0.9588165283203125,-0.05145263671875
-0.18582534790039062,-0.9590606689453125,-0.0517120361328125
-0.18587493896484375,-0.9588432312011719,-0.051876068115234375
-0.18593978881835938,-0.958892822265625,-0.051845550537109375
-0.18578338623046875,-0.958953857421875,-0.05117034912109375
-0.18587875366210938,-0.9593696594238281,-0.051853179931640625
-0.1861419677734375,-0.9591636657714844,-0.052021026611328125
-0.18555068969726562,-0.9591789245605469,-0.051876068115234375
-0.1858673095703125,-0.9588279724121094,-0.0517120361328125
-0.18602752685546875,-0.9591712951660156,-0.051776885986328125
-0.18572235107421875,-0.9593963623046875,-0.052127838134765625
-0.18548583984375,-0.9594039916992188,-0.051910400390625
-0.1859893798828125,-0.9584732055664062,-0.0518341064453125
-0.1856842041015625,-0.9588356018066406,-0.051616668701171875
-0.18592453002929688,-0.9594612121582031,-0.05150604248046875
-0.18576812744140625,-0.9590339660644531,-0.0518341064453125
-0.1856536865234375,-0.9594078063964844,-0.0517578125
-0.18586349487304688,-0.9592666625976562,-0.051708221435546875
-0.18570709228515625,-0.9592933654785156,-0.0515289306640625
-0.185821533203125,-0.9590339660644531,-0.0514984130859375
-0.18547821044921875,-0.9591445922851562,-0.05171966552734375
-0.18572235107421875,-0.9589614868164062,-0.051593780517578125
-0.18570709228515625,-0.95947265625,-0.0516815185546875
-0.18597412109375,-0.9589691162109375,-0.05165863037109375
-0.18568801879882812,-0.9593849182128906,-0.0520172119140625
-0.18574142456054688,-0.9595489501953125,-0.051586151123046875
-0.18544387817382812,-0.9593276977539062,-0.051471710205078125
-0.18577194213867188,-0.9592628479003906,-0.0516204833984375
-0.18560028076171875,-0.9596443176269531,-0.051513671875
-0.18562698364257812,-0.9594688415527344,-0.0513458251953125
-0.1856689453125,-0.9600296020507812,-0.0518035888671875
-0.18593597412109375,-0.9591293334960938,-0.05216217041015625
-0.18585968017578125,-0.9588661193847656,-0.0520477294921875
-0.18584060668945312,-0.9592971801757812,-0.0518035888671875
-0.18580245971679688,-0.9591903686523438,-0.051692962646484375
-0.18558883666992188,-0.9595413208007812,-0.051570892333984375
-0.18570709228515625,-0.9594879150390625,-0.051548004150390625
-0.1857452392578125,-0.9592399597167969,-0.0516510009765625
-0.18564987182617188,-0.9590606689453125,-0.051422119140625
-0.18564987182617188,-0.9588165283203125,-0.051456451416015625
-0.18584060668945312,-0.9592361450195312,-0.05178070068359375
-0.18586349487304688,-0.9594841003417969,-0.051898956298828125
-0.18592071533203125,-0.9591102600097656,-0.051662445068359375
-0.18577957153320312,-0.9590301513671875,-0.051593780517578125
-0.18571090698242188,-0.9591789245605469,-0.0515594482421875
-0.1853485107421875,-0.9591903686523438,-0.051723480224609375
-0.18564605712890625,-0.95941162109375,-0.051776885986328125
-0.18583297729492188,-0.9597587585449219,-0.051593780517578125
-0.18559646606445312,-0.9595832824707031,-0.051677703857421875
-0.18587875366210938,-0.9598007202148438,-0.051830291748046875
-0.185577392578125,-0.9592323303222656,-0.0518341064453125
-0.1857757568359375,-0.9596061706542969,-0.051837921142578125
-0.18574142456054688,-0.9591598510742188,-0.051776885986328125
-0.18550491333007812,-0.9592208862304688,-0.051727294921875
-0.1854248046875,-0.9592475891113281,-0.052032470703125
-0.18572998046875,-0.9591407775878906,-0.051990509033203125
-0.1862335205078125,-0.9591140747070312,-0.05164337158203125
-0.1860809326171875,-0.9589462280273438,-0.051868438720703125
-0.18574905395507812,-0.959442138671875,-0.0518798828125
-0.186004638671875,-0.9592247009277344,-0.05169677734375
-0.18566131591796875,-0.9592857360839844,-0.051647186279296875
-0.186004638671875,-0.9597091674804688,-0.051483154296875
-0.18613052368164062,-0.9596405029296875,-0.05176544189453125
-0.1858367919921875,-0.9597320556640625,-0.051807403564453125
-0.18590545654296875,-0.9590988159179688,-0.051563262939453125
-0.18575668334960938,-0.9589805603027344,-0.0515594482421875
-0.18585968017578125,-0.9589576721191406,-0.05167388916015625
