x,y,z
-0.186004638671875,-0.9590339660644531,-0.0513153076171875
-0.1856689453125,-0.959075927734375,-0.05185699462890625
-0.18577194213867188,-0.9590950012207031,-0.0519256591796875
-0.18568038940429688,-0.9592742919921875,-0.051929473876953125
-0.18571853637695312,-0.9593429565429688,-0.051952362060546875
-0.18560028076171875,-0.9595909118652344,-0.05144500732421875
-0.18584823608398438,-0.9597854614257812,-0.051605224609375
-0.186065673828125,-0.9593582153320312,-0.051799774169921875
-0.1858978271484375,-0.9593582153320312,-0.051822662353515625
-0.185546875,-0.9592323303222656,-0.051799774169921875
-0.18565750122070312,-0.959503173828125,-0.05188751220703125
-0.185699462890625,-0.9590339660644531,-0.05179595947265625
-0.18584442138671875,-0.9593772888183594,-0.051731109619140625
-0.18570709228515625,-0.959564208984375,-0.051738739013671875
-0.18575668334960938,-0.9590835571289062,-0.051898956298828125
-0.18569183349609375,-0.9596519470214844,-0.0517578125
-0.18552017211914062,-0.9594230651855469,-0.0516357421875
-0.18581008911132812,-0.9593353271484375,-0.051296234130859375
-0.18592453002929688,-0.9590873718261719,-0.051788330078125
-0.18569183349609375,-0.9592857360839844,-0.0520477294921875
-0.18584442138671875,-0.9591484069824219,-0.051666259765625
-0.18599319458007812,-0.9587974548339844,-0.051502227783203125
-0.185638427734375,-0.958831787109375,-0.051540374755859375
-0.18560028076171875,-0.9588088989257812,-0.051776885986328125
-0.186004638671875,-0.9589118957519531,-0.051906585693359375
-0.18579483032226562,-0.9590415954589844,-0.052104949951171875
-0.185821533203125,-0.9590492248535156,-0.05193328857421875
-0.18589019775390625,-0.9591903686523438,-0.051738739013671875
-0.18552780151367188,-0.9592552185058594,-0.05152130126953125
-0.18574905395507812,-0.9593086242675781,-0.05149078369140625
-0.18574142456054688,-0.9596977233886719,-0.051906585693359375
-0.185821533203125,-0.9591522216796875,-0.05190277099609375
-0.185760498046875,-0.9589042663574219,-0.05191802978515625
-0.18590927124023438,-0.9590950012207031,-0.0516357421875
-0.1858978271484375,-0.9591026306152344,-0.0514678955078125
-0.18568038940429688,-0.9591903686523438,-0.051525115966796875
-0.1858062744140625,-0.9594573974609375,-0.051822662353515625
