x,y,z
-0.0515289306640625,-0.18596649169921875,-0.9591827392578125
-0.051361083984375,-0.1858367919921875,-0.9588546752929688
-0.05167388916015625,-0.18580245971679688,-0.9586944580078125
-0.051326751708984375,-0.18564605712890625,-0.9591407775878906
-0.051494598388671875,-0.18585205078125,-0.9590568542480469
-0.051666259765625,-0.18569183349609375,-0.9589424133300781
-0.05178070068359375,-0.185516357421875,-0.9596138000488281
-0.051807403564453125,-0.18580245971679688,-0.9593963623046875
-0.051502227783203125,-0.18574905395507812,-0.9586639404296875
-0.051471710205078125,-0.185516357421875,-0.9592819213867188
-0.0515899658203125,-0.185791015625,-0.9594879150390625
-0.0514373779296875,-0.1859283447265625,-0.9592208862304688
-0.051601409912109375,-0.18571853637695312,-0.9590530395507812
-0.05167388916015625,-0.18558883666992188,-0.95904541015625
-0.05150604248046875,-0.18579864501953125,-0.95928955078125
-0.05171966552734375,-0.1857757568359375,-0.9596290588378906
-0.0518951416015625,-0.18587875366210938,-0.95953369140625
-0.051631927490234375,-0.185577392578125,-0.959228515625
-0.051494598388671875,-0.1856536865234375,-0.959625244140625
-0.05168914794921875,-0.18578338623046875,-0.9590988159179688
-0.05171966552734375,-0.18552398681640625,-0.9594268798828125
-0.05152130126953125,-0.18563079833984375,-0.959259033203125
-0.051471710205078125,-0.1857757568359375,-0.9593276977539062
-0.051456451416015625,-0.18593978881835938,-0.9592132568359375
-0.05181121826171875,-0.185882568359375,-0.9592475891113281
-0.051761627197265625,-0.1859283447265625,-0.958892822265625
-0.05149078369140625,-0.1858062744140625,-0.9590835571289062
-0.051483154296875,-0.1855316162109375,-0.9593009948730469
-0.051471710205078125,-0.1856842041015625,-0.9590034484863281
-0.051700592041015625,-0.18557357788085938,-0.9589424133300781
-0.05169677734375,-0.18536376953125,-0.959228515625
-0.05145263671875,-0.185546875,-0.9592628479003906
-0.05136871337890625,-0.1859130859375,-0.959381103515625
-0.051136016845703125,-0.1858367919921875,-0.9588737487792969
-0.05135345458984375,-0.18583297729492188,-0.9590835571289062
-0.0515899658203125,-0.18567276000976562,-0.9594306945800781
-0.05144500732421875,-0.18553543090820312,-0.9593429565429688
-0.0513153076171875,-0.18582916259765625,-0.9585838317871094
-0.05132293701171875,-0.18582534790039062,-0.9593849182128906
-0.051479339599609375,-0.18584442138671875,-0.9593353271484375
-0.0517120361328125,-0.18555450439453125,-0.9591331481933594
-0.05173492431640625,-0.1856842041015625,-0.9594230651855469
-0.051464080810546875,-0.18548202514648438,-0.9594573974609375
-0.051578521728515625,-0.1857757568359375,-0.9593734741210938
-0.051624298095703125,-0.18562698364257812,-0.9592971801757812
-0.051563262939453125,-0.18554306030273438,-0.9592819213867188
-0.05141448974609375,-0.18576431274414062,-0.9590721130371094
-0.05139923095703125,-0.18562698364257812,-0.9590492248535156
-0.0515594482421875,-0.185577392578125,-0.9593772888183594
-0.051654815673828125,-0.1857452392578125,-0.9590530395507812
-0.0519866943359375,-0.18568801879882812,-0.9591331481933594
-0.0515594482421875,-0.18567276000976562,-0.9591903686523438
-0.05146026611328125,-0.18583297729492188,-0.9591827392578125
-0.05155181884765625,-0.18580245971679688,-0.9587631225585938
-0.0518035888671875,-0.18568038940429688,-0.9592857360839844
-0.051441192626953125,-0.18569564819335938,-0.9592247009277344
-0.051361083984375,-0.18529129028320312,-0.9599952697753906
-0.051422119140625,-0.18537521362304688,-0.9592628479003906
-0.051555633544921875,-0.18553543090820312,-0.9585838317871094
-0.051792144775390625,-0.1854705810546875,-0.9590911865234375
-0.0515289306640625,-0.18566131591796875,-0.9594879150390625
-0.0516204833984375,-0.18548202514648438,-0.9593429565429688
-0.051769256591796875,-0.18568038940429688,-0.9590263366699219
-0.051731109619140625,-0.18550872802734375,-0.9594993591308594
-0.051544189453125,-0.18593215942382812,-0.9591178894042969
-0.05175018310546875,-0.18560028076171875,-0.9594306945800781
-0.0517578125,-0.185638427734375,-0.9593887329101562
-0.05161285400390625,-0.185516357421875,-0.9592323303222656
-0.051513671875,-0.18590927124023438,-0.9591331481933594
-0.051708221435546875,-0.18561553955078125,-0.9592361450195312
-0.05155181884765625,-0.1854705810546875,-0.958953857421875
-0.051624298095703125,-0.18530654907226562,-0.9593505859375
-0.05156707763671875,-0.185546875,-0.9593391418457031
-0.051532745361328125,-0.185791015625,-0.958892822265625
-0.05179595947265625,-0.18564987182617188,-0.9589424133300781
-0.051578521728515625,-0.18524169921875,-0.9589385986328125
-0.051410675048828125,-0.1855926513671875,-0.9595146179199219
-0.051670074462890625,-0.18563079833984375,-0.9594993591308594
-0.0516204833984375,-0.18563079833984375,-0.9590950012207031
-0.051494598388671875,-0.18578338623046875,-0.9586563110351562
-0.05146026611328125,-0.1855621337890625,-0.95867919921875
-0.05135345458984375,-0.18560791015625,-0.9590072631835938
-0.051483154296875,-0.18573760986328125,-0.9589500427246094
-0.0514984130859375,-0.1855926513671875,-0.9593963623046875
