x,y,z
-0.051555633544921875,-0.18590927124023438,-0.9593315124511719
-0.0515899658203125,-0.18553924560546875,-0.9592628479003906
-0.0521087646484375,-0.1857147216796875,-0.9588851928710938
-0.051517486572265625,-0.18562698364257812,-0.9590682983398438
-0.051422119140625,-0.1859130859375,-0.9588966369628906
-0.05176544189453125,-0.18567657470703125,-0.9591064453125
-0.051666259765625,-0.18545913696289062,-0.9590034484863281
-0.051685333251953125,-0.18560409545898438,-0.9594612121582031
-0.051883697509765625,-0.18588638305664062,-0.95941162109375
-0.051677703857421875,-0.18601226806640625,-0.9592170715332031
-0.051860809326171875,-0.18593978881835938,-0.9592361450195312
-0.051647186279296875,-0.18589401245117188,-0.9590835571289062
-0.0517730712890625,-0.18571090698242188,-0.9596099853515625
-0.0519866943359375,-0.1854705810546875,-0.95947265625
-0.05185699462890625,-0.18566131591796875,-0.9590187072753906
-0.0516510009765625,-0.18568038940429688,-0.9591941833496094
-0.05178070068359375,-0.18557357788085938,-0.9586563110351562
-0.0516815185546875,-0.18582534790039062,-0.9593544006347656
-0.051723480224609375,-0.18560028076171875,-0.9592628479003906
-0.0516510009765625,-0.18564987182617188,-0.9589576721191406
-0.051975250244140625,-0.185638427734375,-0.95928955078125
-0.05178070068359375,-0.18581008911132812,-0.9592514038085938
-0.05147552490234375,-0.1859588623046875,-0.95904541015625
-0.051570892333984375,-0.18572616577148438,-0.9592819213867188
-0.05126190185546875,-0.18608856201171875,-0.9589920043945312
-0.051616668701171875,-0.185638427734375,-0.9589576721191406
-0.051517486572265625,-0.18585586547851562,-0.9588470458984375
-0.051860809326171875,-0.18595123291015625,-0.9590988159179688
-0.0516815185546875,-0.18568801879882812,-0.9598464965820312
-0.051578521728515625,-0.18582916259765625,-0.9591827392578125
-0.0516815185546875,-0.18582916259765625,-0.9594345092773438
-0.05175018310546875,-0.1857452392578125,-0.9588699340820312
-0.051479339599609375,-0.18566513061523438,-0.9592399597167969
-0.051662445068359375,-0.18589401245117188,-0.9588050842285156
-0.0516204833984375,-0.18580245971679688,-0.9593696594238281
-0.05176544189453125,-0.18590164184570312,-0.95941162109375
-0.051433563232421875,-0.18560409545898438,-0.9595718383789062
-0.051532745361328125,-0.18558502197265625,-0.9591636657714844
-0.051494598388671875,-0.18523406982421875,-0.9589500427246094
-0.051418304443359375,-0.1857147216796875,-0.9595870971679688
-0.05136871337890625,-0.18589019775390625,-0.9594039916992188
-0.05171966552734375,-0.185943603515625,-0.9592742919921875
-0.051364898681640625,-0.18571090698242188,-0.9590225219726562
-0.05135345458984375,-0.18564605712890625,-0.9589195251464844
-0.05142974853515625,-0.18566131591796875,-0.9587669372558594
-0.051639556884765625,-0.18568801879882812,-0.9591445922851562
-0.05165863037109375,-0.18561172485351562,-0.9587936401367188
-0.05181884765625,-0.1855316162109375,-0.9590721130371094
-0.0517120361328125,-0.18600082397460938,-0.9591712951660156
-0.05141448974609375,-0.18566513061523438,-0.9593620300292969
-0.05158233642578125,-0.18571090698242188,-0.9600677490234375
-0.051540374755859375,-0.18564224243164062,-0.9591217041015625
-0.051647186279296875,-0.18595504760742188,-0.9588241577148438
-0.05190277099609375,-0.18590545654296875,-0.9596061706542969
-0.051532745361328125,-0.1856842041015625,-0.9593238830566406
-0.05120849609375,-0.18569564819335938,-0.9591560363769531
-0.051548004150390625,-0.18576431274414062,-0.9590301513671875
-0.05170440673828125,-0.1859130859375,-0.9592132568359375
-0.051753997802734375,-0.18588638305664062,-0.9597434997558594
-0.051807403564453125,-0.18602752685546875,-0.9596939086914062
