x,y,z
-0.05175018310546875,-0.18560791015625,-0.9588966369628906
-0.0517730712890625,-0.18568801879882812,-0.9589996337890625
-0.05164337158203125,-0.18603134155273438,-0.9591064453125
-0.05167388916015625,-0.18591690063476562,-0.9591178894042969
-0.051708221435546875,-0.18602371215820312,-0.9590225219726562
-0.0516357421875,-0.18628692626953125,-0.9586105346679688
-0.051540374755859375,-0.18621063232421875,-0.9591140747070312
-0.051708221435546875,-0.18585586547851562,-0.9595832824707031
-0.05141448974609375,-0.18573760986328125,-0.95953369140625
-0.0517578125,-0.1858367919921875,-0.9596939086914062
-0.051723480224609375,-0.18594741821289062,-0.9593505859375
-0.051971435546875,-0.1859283447265625,-0.9594306945800781
-0.0516204833984375,-0.18543243408203125,-0.9595298767089844
-0.051784515380859375,-0.18555831909179688,-0.9590606689453125
-0.051891326904296875,-0.18553543090820312,-0.9589881896972656
-0.05156707763671875,-0.1856536865234375,-0.9592018127441406
-0.05152130126953125,-0.18553924560546875,-0.9596099853515625
-0.051715850830078125,-0.18573760986328125,-0.9586830139160156
-0.05194854736328125,-0.1853179931640625,-0.9590110778808594
-0.05178070068359375,-0.1855316162109375,-0.9591598510742188
-0.0516204833984375,-0.18585586547851562,-0.958984375
-0.051532745361328125,-0.18571090698242188,-0.9588088989257812
-0.051586151123046875,-0.18589019775390625,-0.9592819213867188
-0.051891326904296875,-0.18570709228515625,-0.959197998046875
-0.051666259765625,-0.185821533203125,-0.958892822265625
-0.051517486572265625,-0.18584442138671875,-0.9592628479003906
-0.051845550537109375,-0.18613433837890625,-0.9592475891113281
-0.051860809326171875,-0.18594741821289062,-0.959136962890625
-0.051761627197265625,-0.18562698364257812,-0.9592247009277344
-0.0518341064453125,-0.18581390380859375,-0.9589996337890625
-0.0518951416015625,-0.18570709228515625,-0.9595375061035156
-0.0517730712890625,-0.18571853637695312,-0.9592857360839844
-0.051837921142578125,-0.18564224243164062,-0.9586982727050781
-0.05164337158203125,-0.18613815307617188,-0.9591522216796875
-0.051544189453125,-0.18584823608398438,-0.9596824645996094
-0.051578521728515625,-0.18608474731445312,-0.9590682983398438
-0.051731109619140625,-0.18615341186523438,-0.9590339660644531
-0.051891326904296875,-0.18579483032226562,-0.9593925476074219
-0.05181121826171875,-0.18585968017578125,-0.9593925476074219
-0.05171966552734375,-0.18579483032226562,-0.959625244140625
-0.051708221435546875,-0.18579483032226562,-0.9594039916992188
-0.051853179931640625,-0.1858673095703125,-0.9592247009277344
-0.05161285400390625,-0.18597793579101562,-0.9593009948730469
-0.051418304443359375,-0.18590545654296875,-0.9593887329101562
-0.051387786865234375,-0.18592453002929688,-0.959381103515625
-0.051616668701171875,-0.18597030639648438,-0.9593544006347656
-0.05167388916015625,-0.18598556518554688,-0.9588851928710938
-0.0517578125,-0.18589401245117188,-0.9584007263183594
-0.051685333251953125,-0.18586349487304688,-0.9591255187988281
-0.051845550537109375,-0.18574142456054688,-0.9595184326171875
-0.05196380615234375,-0.1859588623046875,-0.959442138671875
-0.05194854736328125,-0.1854095458984375,-0.9593887329101562
-0.0517425537109375,-0.18570709228515625,-0.9585494995117188
-0.051822662353515625,-0.18555068969726562,-0.9591178894042969
-0.051799774169921875,-0.1856842041015625,-0.9592399597167969
-0.051837921142578125,-0.1856842041015625,-0.9593544006347656
-0.051670074462890625,-0.18561172485351562,-0.9595298767089844
-0.051425933837890625,-0.18598175048828125,-0.9594650268554688
-0.05164337158203125,-0.186004638671875,-0.9590377807617188
-0.051586151123046875,-0.18599700927734375,-0.9588737487792969
-0.05161285400390625,-0.18565750122070312,-0.959197998046875
-0.051776885986328125,-0.1858978271484375,-0.9589309692382812
-0.05188751220703125,-0.18549346923828125,-0.9588966369628906
-0.05168914794921875,-0.18572998046875,-0.9597969055175781
-0.051631927490234375,-0.18599700927734375,-0.9591026306152344
-0.051609039306640625,-0.1861724853515625,-0.9589385986328125
-0.05155181884765625,-0.18560791015625,-0.9589004516601562
-0.051624298095703125,-0.18553543090820312,-0.9590187072753906
-0.0517730712890625,-0.18534088134765625,-0.9594001770019531
-0.05150604248046875,-0.185821533203125,-0.9592552185058594
-0.0513458251953125,-0.186126708984375,-0.9597549438476562
-0.05158233642578125,-0.1860809326171875,-0.9594573974609375
-0.05144500732421875,-0.18576431274414062,-0.959320068359375
-0.051853179931640625,-0.18590545654296875,-0.95965576171875
-0.0516357421875,-0.18584442138671875,-0.9591941833496094
-0.051609039306640625,-0.18575286865234375,-0.9590797424316406
-0.051761627197265625,-0.18572998046875,-0.9592018127441406
-0.051433563232421875,-0.18574142456054688,-0.9592361450195312
-0.051727294921875,-0.18558120727539062,-0.9597015380859375
-0.05184173583984375,-0.18561172485351562,-0.9593887329101562
-0.051959991455078125,-0.18572235107421875,-0.9589576721191406
-0.05193328857421875,-0.1859283447265625,-0.9593963623046875
-0.05181884765625,-0.18593597412109375,-0.959014892578125
-0.051876068115234375,-0.185943603515625,-0.959625244140625
-0.05190277099609375,-0.18582916259765625,-0.9595184326171875
-0.052028656005859375,-0.18578338623046875,-0.9589271545410156
-0.0518646240234375,-0.18560028076171875,-0.9590187072753906
-0.051471710205078125,-0.18549728393554688,-0.9589653015136719
-0.051761627197265625,-0.185882568359375,-0.9590225219726562
-0.051513671875,-0.18597412109375,-0.9589691162109375
-0.0516204833984375,-0.18587493896484375,-0.9590606689453125
-0.05176544189453125,-0.185394287109375,-0.95916748046875
-0.051715850830078125,-0.18582534790039062,-0.9594764709472656
-0.05152130126953125,-0.1856231689453125,-0.9595375061035156
-0.051471710205078125,-0.18553924560546875,-0.9595069885253906
-0.051715850830078125,-0.18598556518554688,-0.9594039916992188
-0.05161285400390625,-0.18615341186523438,-0.9594573974609375
-0.0515899658203125,-0.18567276000976562,-0.9587173461914062
-0.051525115966796875,-0.18554306030273438,-0.9591026306152344
-0.05197906494140625,-0.18595504760742188,-0.9592132568359375
-0.051769256591796875,-0.18614959716796875,-0.9593009948730469
-0.0516510009765625,-0.18604660034179688,-0.9590950012207031
-0.052021026611328125,-0.18590164184570312,-0.958831787109375
-0.051532745361328125,-0.18576431274414062,-0.9589462280273438
-0.05146026611328125,-0.18590545654296875,-0.9592018127441406
-0.05173492431640625,-0.185791015625,-0.9591026306152344
-0.051685333251953125,-0.1856231689453125,-0.9588813781738281
-0.051708221435546875,-0.18610382080078125,-0.9587593078613281
-0.051624298095703125,-0.18608856201171875,-0.9590797424316406
