x,y,z
-0.18574142456054688,-0.9588584899902344,-0.051792144775390625
-0.18581008911132812,-0.9587860107421875,-0.051311492919921875
-0.18597412109375,-0.9593238830566406,-0.051563262939453125
-0.18600845336914062,-0.9588546752929688,-0.051502227783203125
-0.18584060668945312,-0.9593009948730469,-0.051540374755859375
-0.18590164184570312,-0.9593429565429688,-0.051631927490234375
-0.18604278564453125,-0.9595680236816406,-0.051593780517578125
-0.18589019775390625,-0.9595603942871094,-0.05184173583984375
-0.18604278564453125,-0.9586219787597656,-0.051609039306640625
-0.18572998046875,-0.9588241577148438,-0.0514373779296875
-0.18593978881835938,-0.9591903686523438,-0.051815032958984375
-0.18575286865234375,-0.9589385986328125,-0.051395416259765625
-0.18595504760742188,-0.9590606689453125,-0.051479339599609375
-0.1859283447265625,-0.9591102600097656,-0.051288604736328125
-0.18608474731445312,-0.9591941833496094,-0.051666259765625
-0.18627166748046875,-0.9593124389648438,-0.051502227783203125
-0.1858367919921875,-0.9592208862304688,-0.051769256591796875
-0.18577957153320312,-0.9590530395507812,-0.051753997802734375
-0.1863555908203125,-0.9589576721191406,-0.0519866943359375
-0.18608474731445312,-0.9588890075683594,-0.051849365234375
-0.185760498046875,-0.9593849182128906,-0.051906585693359375
-0.18592071533203125,-0.9591903686523438,-0.051822662353515625
-0.18568801879882812,-0.9592552185058594,-0.051593780517578125
-0.185791015625,-0.9594039916992188,-0.051578521728515625
-0.18602752685546875,-0.9593048095703125,-0.051479339599609375
-0.18589019775390625,-0.9591903686523438,-0.05169677734375
-0.185821533203125,-0.9586372375488281,-0.051815032958984375
-0.18567657470703125,-0.9588584899902344,-0.051502227783203125
-0.18542861938476562,-0.9593963623046875,-0.05161285400390625
-0.18572616577148438,-0.9587783813476562,-0.051479339599609375
-0.1861724853515625,-0.9586105346679688,-0.051731109619140625
-0.18522262573242188,-0.9588775634765625,-0.0516510009765625
-0.18548202514648438,-0.9592437744140625,-0.05150604248046875
-0.1860198974609375,-0.9593315124511719,-0.051227569580078125
-0.18598175048828125,-0.9594306945800781,-0.051593780517578125
-0.18593978881835938,-0.9594230651855469,-0.05159759521484375
-0.18593597412109375,-0.9592819213867188,-0.051853179931640625
-0.18585205078125,-0.9595184326171875,-0.051746368408203125
-0.18572616577148438,-0.9593391418457031,-0.051662445068359375
-0.1855621337890625,-0.9593276977539062,-0.05169677734375
